model,representation,dataset,fold,accuracy,balanced_accuracy,f1,mcc,roc_auc
SVM,AAC,balanced,1,0.9068396226415094,0.9069543644171506,0.9049338146811071,0.8147180842896429,0.9531239570122155
SVM,AAC,balanced,2,0.8679245283018868,0.8682553456600584,0.8585858585858586,0.7434915187299713,0.9204102974879292
SVM,AAC,balanced,3,0.8867924528301887,0.8869123111496785,0.8843373493975903,0.7746783195931827,0.9426523596555638
SVM,AAC,balanced,4,0.8997641509433962,0.8999009856929889,0.8972188633615478,0.8009723927152522,0.953171239125114
SVM,AAC,balanced,5,0.8867924528301887,0.8870037326094333,0.8840579710144928,0.7751293595898265,0.9457742522264931
SVM,AAC,imbalanced,1,0.905144694533762,0.8735649646418753,0.8483290488431876,0.7882097673594731,0.9330388495065342
SVM,AAC,imbalanced,2,0.9018503620273531,0.8781526367507371,0.8486352357320099,0.7791404651111781,0.9451531711689968
SVM,AAC,imbalanced,3,0.9074818986323411,0.8807514610305653,0.8549810844892812,0.7923230979968331,0.943147666086277
SVM,AAC,imbalanced,4,0.915526950925181,0.8930502640485918,0.8695652173913043,0.8104336025390312,0.9637026565759306
SVM,AAC,imbalanced,5,0.9002413515687852,0.8769286465426587,0.8465346534653465,0.7754819815138579,0.9389958683147436
Random Forest,AAC,balanced,1,0.9139150943396226,0.9139632423291726,0.9134045077105575,0.8280301261813808,0.957665821151236
Random Forest,AAC,balanced,2,0.8867924528301887,0.887012437976993,0.8817733990147784,0.777143651098386,0.9417679060142847
Random Forest,AAC,balanced,3,0.8903301886792453,0.8904223127072068,0.888622754491018,0.781325028180301,0.950008900162428
Random Forest,AAC,balanced,4,0.8926886792452831,0.8928364817657922,0.8896969696969697,0.7870334941204661,0.9633563625036157
Random Forest,AAC,balanced,5,0.8985849056603774,0.8987133344829696,0.8973747016706444,0.7977817772431678,0.9609717022590354
Random Forest,AAC,imbalanced,1,0.9180064308681672,0.8934182578061625,0.8721804511278195,0.8166113195087109,0.9546578990365736
Random Forest,AAC,imbalanced,2,0.9074818986323411,0.8903005959050919,0.8609431680773881,0.7925319982863637,0.9579203084685182
Random Forest,AAC,imbalanced,3,0.913113435237329,0.8895291372880285,0.8653366583541147,0.8049748304866522,0.9561532803512219
Random Forest,AAC,imbalanced,4,0.9308125502815768,0.9102953091868222,0.8933002481389578,0.8453667830524053,0.9668215330333696
Random Forest,AAC,imbalanced,5,0.917940466613033,0.8943245355445607,0.8725,0.8161198378636028,0.9526565759304911
Gradient Boosting,AAC,balanced,1,0.8915094339622641,0.8915515208152549,0.8909952606635071,0.7831727483793521,0.9447133035177893
Gradient Boosting,AAC,balanced,2,0.8738207547169812,0.8740348886367175,0.8683886838868389,0.7509260820500467,0.9233139754800526
Gradient Boosting,AAC,balanced,3,0.8561320754716981,0.8561956255701666,0.8547619047619047,0.7125815392909431,0.9372371670782993
Gradient Boosting,AAC,balanced,4,0.8844339622641509,0.8845760185123379,0.8813559322033898,0.7703786119249167,0.9531239570122154
Gradient Boosting,AAC,balanced,5,0.8856132075471698,0.8856825780037493,0.8852071005917159,0.7714230899040546,0.9459967624758715
Gradient Boosting,AAC,imbalanced,1,0.8987138263665595,0.8692279688928765,0.8401015228426396,0.7725304382747521,0.9388406204225777
Gradient Boosting,AAC,imbalanced,2,0.8905872888173774,0.8707081329264859,0.8349514563106796,0.7542373709860777,0.941145034220008
Gradient Boosting,AAC,imbalanced,3,0.9010458567980691,0.8724852173013602,0.844106463878327,0.7776070987777722,0.9421951948328076
Gradient Boosting,AAC,imbalanced,4,0.9066773934030571,0.8863183179041609,0.8578431372549019,0.7902860315790406,0.9569419782669908
Gradient Boosting,AAC,imbalanced,5,0.8986323411102172,0.874581228702283,0.8436724565756824,0.7717819853399306,0.9411019359732447
