dataset,model,representation,fold,accuracy,balanced_accuracy,f1,mcc,roc_auc
balanced,SVM,DPC,1,0.9044811320754716,0.9047181986071247,0.899876390605686,0.8132384250854446,0.9607363771888837
balanced,SVM,DPC,2,0.8679245283018868,0.8682887212691632,0.8575063613231552,0.7451063734065094,0.9328148988719044
balanced,SVM,DPC,3,0.9068396226415094,0.9069988652292904,0.9040097205346294,0.8156440918929851,0.9571624057139042
balanced,SVM,DPC,4,0.9009433962264151,0.9012526978617359,0.8944723618090452,0.8090850486971664,0.9559886967937165
balanced,SVM,DPC,5,0.9080188679245284,0.9083814048184594,0.9037037037037037,0.8205878388727311,0.9518599075469913
balanced,Random Forest,DPC,1,0.9068396226415094,0.9067874863716263,0.908246225319396,0.8138398492539455,0.9643604120775204
balanced,Random Forest,DPC,2,0.8632075471698113,0.8632935051064682,0.861244019138756,0.7269753258316587,0.9334851923547605
balanced,Random Forest,DPC,3,0.875,0.8749415926840665,0.877030162412993,0.7501753471171876,0.9515302716774582
balanced,Random Forest,DPC,4,0.8974056603773585,0.8974423158222637,0.8970414201183432,0.7949310627902562,0.9628251340586965
balanced,Random Forest,DPC,5,0.8950471698113207,0.8950502595025783,0.895662368112544,0.7900895313928915,0.9584183971474186
balanced,Gradient Boosting,DPC,1,0.8643867924528302,0.8647230936964599,0.854614412136536,0.7366043616727674,0.9378156776361168
balanced,Gradient Boosting,DPC,2,0.8502358490566038,0.8506608370602764,0.8361290322580646,0.712549926432763,0.9216618828293617
balanced,Gradient Boosting,DPC,3,0.8408018867924528,0.8410486616380748,0.8327137546468402,0.6856246799083255,0.9231637852390806
balanced,Gradient Boosting,DPC,4,0.8679245283018868,0.8682330952539884,0.8592964824120602,0.7425043953427651,0.9419097523529805
balanced,Gradient Boosting,DPC,5,0.8702830188679245,0.870677043061296,0.8635235732009926,0.7455463437088831,0.9312359888077344
imbalanced,SVM,DPC,1,0.9131832797427653,0.8841566363487827,0.8622448979591837,0.8064313145852685,0.9498221344440018
imbalanced,SVM,DPC,2,0.9211584875301689,0.8950873745122715,0.8759493670886076,0.8241264362589582,0.9537814401710139
imbalanced,SVM,DPC,3,0.9219629927594529,0.8923290867194189,0.8751608751608752,0.8272948967697417,0.951672499296062
imbalanced,SVM,DPC,4,0.9283990345937249,0.9028421857132185,0.8871989860583016,0.8409808731934568,0.9604516121617505
imbalanced,SVM,DPC,5,0.9227674979887369,0.8974347923526471,0.8787878787878788,0.8276969744212523,0.9569118094942565
imbalanced,Random Forest,DPC,1,0.9139871382636656,0.8953889680357967,0.8696711327649208,0.8070899423543072,0.951196615251434
imbalanced,Random Forest,DPC,2,0.9090909090909091,0.894894869010062,0.8649940262843488,0.7967915876422498,0.9496238959665788
imbalanced,Random Forest,DPC,3,0.918744971842317,0.9033622378908293,0.8781664656212304,0.8179916966688667,0.9572522856436866
imbalanced,Random Forest,DPC,4,0.9308125502815768,0.9147890197160113,0.8953771289537713,0.8450526667278623,0.9675958648668839
imbalanced,Random Forest,DPC,5,0.9090909090909091,0.8943331551939133,0.8646706586826347,0.79664427206662,0.9509125335448021
imbalanced,Gradient Boosting,DPC,1,0.8665594855305466,0.8229485264820458,0.7786666666666666,0.6994508342551621,0.9175698491367572
imbalanced,Gradient Boosting,DPC,2,0.8825422365245374,0.8449281983208923,0.8089005235602095,0.7358543875078505,0.930598893237023
imbalanced,Gradient Boosting,DPC,3,0.8769106999195495,0.8389590911441722,0.8,0.7224520797966677,0.9253136115756144
imbalanced,Gradient Boosting,DPC,4,0.9058728881737731,0.8750337602932979,0.8498074454428755,0.7894667287758728,0.9479545572086127
imbalanced,Gradient Boosting,DPC,5,0.8720836685438456,0.8313551238068968,0.7899603698811096,0.7115871517866259,0.9241212267484958
