model,representation,dataset,fold,accuracy,balanced_accuracy,f1,mcc,roc_auc
SVM,AAC,balanced,1,0.9221698113207547,0.9223127072069065,0.9200968523002422,0.8459723475083846,0.9640433437910242
SVM,AAC,balanced,2,0.8985849056603774,0.8986382751485215,0.8978622327790974,0.7974096315629379,0.9465545246200743
SVM,AAC,balanced,3,0.8820754716981132,0.8824288543265915,0.8730964467005076,0.7731597789663642,0.9370869768373273
SVM,AAC,balanced,4,0.8655660377358491,0.865841176601473,0.85785536159601,0.7364083157516907,0.9089068375497853
SVM,AAC,balanced,5,0.8867924528301887,0.8867676835102241,0.8878504672897196,0.7736042221170102,0.9538081569988652
SVM,AAC,balanced,6,0.8773584905660378,0.877556015397281,0.8725490196078431,0.7575431442999611,0.9334045346327571
SVM,AAC,balanced,7,0.9127358490566038,0.9129007854393343,0.9099756690997567,0.8275989277943091,0.9570122154729324
SVM,AAC,balanced,8,0.8820754716981132,0.8821840998598225,0.8798076923076923,0.7650494093994137,0.9499922123578756
SVM,AAC,balanced,9,0.9009433962264151,0.9011414458313864,0.8970588235294118,0.8048658736489288,0.9565449569454643
SVM,AAC,balanced,10,0.875,0.8751891410769916,0.8735083532219571,0.7507542545945193,0.9412772585669782
SVM,AAC,imbalanced,1,0.9035369774919614,0.8731445849367785,0.8469387755102041,0.7844090961910617,0.9462387758841855
SVM,AAC,imbalanced,2,0.9083601286173634,0.8774464226270418,0.8534704370179949,0.7952670734678965,0.9248252350287545
SVM,AAC,imbalanced,3,0.9163987138263665,0.8948081315931449,0.8712871287128713,0.8122920853055099,0.9562427539974976
SVM,AAC,imbalanced,4,0.8954983922829582,0.8710412433853324,0.8387096774193549,0.7645131575006363,0.9360400381096687
SVM,AAC,imbalanced,5,0.9019292604501608,0.8748062949826096,0.8463476070528967,0.7793676246613459,0.9307023887415774
SVM,AAC,imbalanced,6,0.9212218649517685,0.8973506893028915,0.8771929824561403,0.8236746601590624,0.960202945464146
SVM,AAC,imbalanced,7,0.9162640901771336,0.8970070422535211,0.8725490196078431,0.8121308052552755,0.9666068305256375
SVM,AAC,imbalanced,8,0.9130434782608695,0.8889464236398785,0.865,0.8049594317765704,0.9632813219184386
SVM,AAC,imbalanced,9,0.8985507246376812,0.873429301297984,0.8428927680798005,0.7716767192214593,0.9443408818926632
SVM,AAC,imbalanced,10,0.9049919484702094,0.8816970450151892,0.8535980148883374,0.786417630287467,0.9331446193500874
Random Forest,AAC,balanced,1,0.9363207547169812,0.9363749638430902,0.9358669833729216,0.872895606955366,0.9601717731348597
Random Forest,AAC,balanced,2,0.9033018867924528,0.9033998620474823,0.9016786570743405,0.8073657953697648,0.9514607391584895
Random Forest,AAC,balanced,3,0.9056603773584906,0.9058362815121376,0.9024390243902439,0.8137028805917323,0.9576574772489598
Random Forest,AAC,balanced,4,0.8632075471698113,0.8633157555125381,0.8605769230769231,0.7272790895338588,0.9423825734819661
Random Forest,AAC,balanced,5,0.9033018867924528,0.9033998620474823,0.9016786570743405,0.8073657953697648,0.9620630576508021
Random Forest,AAC,balanced,6,0.875,0.8751640967447656,0.8710462287104623,0.7519612826178717,0.9469661571323676
Random Forest,AAC,balanced,7,0.9080188679245284,0.9081391985403733,0.9060240963855422,0.8171789301453649,0.9606167812562579
Random Forest,AAC,balanced,8,0.9009433962264151,0.9010524442071068,0.8990384615384616,0.8028197292649685,0.9634982088423114
Random Forest,AAC,balanced,9,0.9056603773584906,0.9058585319182075,0.9019607843137255,0.8143304195187223,0.9653116169370092
Random Forest,AAC,balanced,10,0.9009433962264151,0.9008455718736093,0.9027777777777778,0.8019767225767402,0.9619492656875834
Random Forest,AAC,imbalanced,1,0.9147909967845659,0.8950545171339563,0.8704156479217604,0.8090823974127934,0.9653942184350376
Random Forest,AAC,imbalanced,2,0.9212218649517685,0.8951008413972015,0.8759493670886076,0.8241900622949769,0.9471802288875879
Random Forest,AAC,imbalanced,3,0.9340836012861736,0.9217546517901214,0.9016786570743405,0.8525858256592412,0.9682610741875869
Random Forest,AAC,imbalanced,4,0.8954983922829582,0.8732910912910224,0.8402948402948403,0.7647268299357293,0.9493726827140513
Random Forest,AAC,imbalanced,5,0.9035369774919614,0.8760287888701401,0.8484848484848485,0.7831496213908745,0.9442072155836404
Random Forest,AAC,imbalanced,6,0.9244372990353698,0.9020455249836428,0.8827930174563591,0.830869648388129,0.9738856939518119
Random Forest,AAC,imbalanced,7,0.9355877616747182,0.9184444904722453,0.9019607843137255,0.855983962080068,0.9691671269446744
Random Forest,AAC,imbalanced,8,0.9227053140096618,0.8996651477492406,0.88,0.8271427905736436,0.9707550860719876
