model,representation,dataset,fold,accuracy,balanced_accuracy,f1,mcc,roc_auc
SVM,DPC,balanced,1,0.9221698113207547,0.9223572080190463,0.9193154034229829,0.8471210550251643,0.9653116169370091
SVM,DPC,balanced,2,0.9033018867924528,0.9035556148899717,0.8982630272952854,0.8114834933271088,0.9592706316890284
SVM,DPC,balanced,3,0.8985849056603774,0.8989497808335002,0.8905852417302799,0.8071385497328851,0.9555881894844581
SVM,DPC,balanced,4,0.8537735849056604,0.8541263378056649,0.8426395939086294,0.7159403323426425,0.9255723916961486
SVM,DPC,balanced,5,0.9033018867924528,0.9034443628596222,0.9007263922518159,0.8081754797166506,0.9644216006942127
SVM,DPC,balanced,6,0.9150943396226415,0.9152704536857798,0.9121951219512195,0.8326184222113434,0.9516498676100839
SVM,DPC,balanced,7,0.9080188679245284,0.9083617026010724,0.9012658227848102,0.8250165371722611,0.9576574772489598
SVM,DPC,balanced,8,0.8962264150943396,0.8964688605567052,0.8910891089108911,0.796847957066664,0.9587922479585254
SVM,DPC,balanced,9,0.9292452830188679,0.9294662127583828,0.9261083743842364,0.8623933182899071,0.9616625503415437
SVM,DPC,balanced,10,0.9080188679245284,0.9082999554962172,0.9060240963855422,0.817664988331839,0.951068090787717
SVM,DPC,imbalanced,1,0.927652733118971,0.9070803555066886,0.8888888888888888,0.8384782282670858,0.9656748213304014
SVM,DPC,imbalanced,2,0.9131832797427653,0.8822388282424785,0.8608247422680413,0.8067583453121497,0.943053594591182
SVM,DPC,imbalanced,3,0.9212218649517685,0.8951008413972015,0.8759493670886076,0.8241900622949769,0.9635318020592994
SVM,DPC,imbalanced,4,0.9212218649517685,0.8951008413972015,0.8759493670886076,0.8241900622949769,0.9453837942077895
SVM,DPC,imbalanced,5,0.9083601286173634,0.8751965747213517,0.8519480519480519,0.7961040548943524,0.9417507489927338
SVM,DPC,imbalanced,6,0.9372990353697749,0.9140753239895772,0.9017632241813602,0.861023163187821,0.9665048153632471
SVM,DPC,imbalanced,7,0.9339774557165862,0.9104874344103839,0.8967254408060453,0.8534933000548771,0.9668599834299917
SVM,DPC,imbalanced,8,0.9243156199677939,0.8975248550124275,0.8804071246819338,0.8318760471412482,0.960956917978459
SVM,DPC,imbalanced,9,0.9323671497584541,0.9092619442143054,0.8944723618090452,0.8496149253593707,0.9638911902789284
SVM,DPC,imbalanced,10,0.9210950080515298,0.8950738746202707,0.8759493670886076,0.8240626613205613,0.9525856117094725
Random Forest,DPC,balanced,1,0.9292452830188679,0.9292882095098236,0.9289099526066351,0.8586528439185697,0.9741672785528336
Random Forest,DPC,balanced,2,0.8797169811320755,0.8795696771466079,0.8838268792710706,0.7607916209108756,0.9584584918674766
Random Forest,DPC,balanced,3,0.8797169811320755,0.8797476803951672,0.8794326241134752,0.7595207106797222,0.9554658122510735
Random Forest,DPC,balanced,4,0.8655660377358491,0.8656631733529137,0.8633093525179856,0.7318394639330786,0.9295552143826624
Random Forest,DPC,balanced,5,0.8773584905660378,0.8772667601183721,0.880184331797235,0.7552059651891688,0.9585252430856863
Random Forest,DPC,balanced,6,0.8726415094339622,0.8726386756558306,0.8732394366197183,0.7452773513116614,0.9509267294128116
Random Forest,DPC,balanced,7,0.8891509433962265,0.8891596021627395,0.8894117647058823,0.7783105455108011,0.9611730414080056
Random Forest,DPC,balanced,8,0.9056603773584906,0.905747279887858,0.9043062200956937,0.8119282532049127,0.9656342478250228
Random Forest,DPC,balanced,9,0.910377358490566,0.9104198651625393,0.909952606635071,0.8209127961489608,0.9672585274681262
