model,representation,dataset,fold,accuracy,balanced_accuracy,f1,mcc,roc_auc
SVM,Physicochemical,balanced,1,0.8820754716981132,0.8823843535144517,0.8743718592964824,0.7710389610660799,0.9362303362036357
SVM,Physicochemical,balanced,2,0.875,0.8752530983690452,0.8684863523573201,0.754571820861316,0.9240148632712548
SVM,Physicochemical,balanced,3,0.8537735849056604,0.8542153394299445,0.8393782383419689,0.7207231586786152,0.8988719044122555
SVM,Physicochemical,balanced,4,0.8089622641509434,0.8095253988385288,0.784,0.6370142740177072,0.8729724317468794
SVM,Physicochemical,balanced,5,0.8608490566037735,0.8610350888903722,0.8557457212713936,0.7241273964196774,0.924415370580513
SVM,Physicochemical,balanced,6,0.8561320754716981,0.8563847540217608,0.8486352357320099,0.7166307058841209,0.8982377678392629
SVM,Physicochemical,balanced,7,0.8537735849056604,0.8540595865874552,0.845,0.7130868154632986,0.9267516632178537
SVM,Physicochemical,balanced,8,0.8726415094339622,0.8729279309347395,0.865,0.7510882369566451,0.9203212958636495
SVM,Physicochemical,balanced,9,0.8820754716981132,0.8823398527023119,0.8756218905472637,0.769211485536941,0.9266404111875043
SVM,Physicochemical,balanced,10,0.8797169811320755,0.8800845571873609,0.8759124087591241,0.7620451662322978,0.9214953271028037
SVM,Physicochemical,imbalanced,1,0.8729903536977492,0.8331958951805021,0.7926509186351706,0.7143362218275742,0.9005520432472055
SVM,Physicochemical,imbalanced,2,0.8745980707395499,0.8337752677433796,0.7936507936507936,0.7175225132416311,0.9060458923057497
SVM,Physicochemical,imbalanced,3,0.8954983922829582,0.8676664715267973,0.836272040302267,0.7645211631110777,0.9234133406797755
SVM,Physicochemical,imbalanced,4,0.8729903536977492,0.8393023175729192,0.7979539641943734,0.7124703429127499,0.9106718550914286
SVM,Physicochemical,imbalanced,5,0.8665594855305466,0.8265378743528817,0.7821522309711286,0.697963071905589,0.8993422638520611
SVM,Physicochemical,imbalanced,6,0.887459807073955,0.8559293823249194,0.8214285714285714,0.7461341430148353,0.9141958515559535
SVM,Physicochemical,imbalanced,7,0.8904991948470209,0.8605702844518089,0.8274111675126904,0.7533107859948672,0.9202108073276258
SVM,Physicochemical,imbalanced,8,0.8969404186795491,0.8654722452361227,0.8358974358974359,0.7686456291880797,0.9249286569087729
SVM,Physicochemical,imbalanced,9,0.8711755233494364,0.8346451256558962,0.7927461139896373,0.7087161410290862,0.908335634723373
SVM,Physicochemical,imbalanced,10,0.8743961352657005,0.8370961060480531,0.796875,0.7164721319609607,0.8884861456319618
Random Forest,Physicochemical,balanced,1,0.9127358490566038,0.9128340342211245,0.9112709832134293,0.8262473782289365,0.9545424203991723
Random Forest,Physicochemical,balanced,2,0.8867924528301887,0.8868566851345037,0.8857142857142857,0.7739200382847852,0.9408584206661771
Random Forest,Physicochemical,balanced,3,0.8797169811320755,0.8799256836437265,0.8746928746928747,0.7625966544594824,0.9333266582115123
Random Forest,Physicochemical,balanced,4,0.8372641509433962,0.8375831608926863,0.8261964735516373,0.6811257011363878,0.9190530227176646
Random Forest,Physicochemical,balanced,5,0.8820754716981132,0.8821840998598225,0.8798076923076923,0.7650494093994137,0.949602830251652
Random Forest,Physicochemical,balanced,6,0.8655660377358491,0.8656854237589836,0.8626506024096385,0.7321777090410004,0.9266960372026789
Random Forest,Physicochemical,balanced,7,0.8867924528301887,0.8869679371648533,0.8829268292682927,0.7758717973525104,0.9495805798455822
Random Forest,Physicochemical,balanced,8,0.8608490566037735,0.8609683376721625,0.8578313253012049,0.7227331289182933,0.9402910353113944
Random Forest,Physicochemical,balanced,9,0.9033018867924528,0.9034666132656921,0.9002433090024331,0.8086895165001997,0.9444296108403979
Random Forest,Physicochemical,balanced,10,0.8938679245283019,0.8938362260792168,0.8951048951048951,0.7877162738198298,0.9546617712505563
Random Forest,Physicochemical,imbalanced,1,0.882636655948553,0.854991295583654,0.8179551122194514,0.7355619176962812,0.9308113432288804
Random Forest,Physicochemical,imbalanced,2,0.8954983922829582,0.8665415475739522,0.8354430379746836,0.7646146737130507,0.9399772719446262
Random Forest,Physicochemical,imbalanced,3,0.9180064308681672,0.9027801691977455,0.8771084337349397,0.8162988815823483,0.9552440970189515
Random Forest,Physicochemical,imbalanced,4,0.8890675241157556,0.8639014199295201,0.8287841191066998,0.7498018846394374,0.9338074084277466
Random Forest,Physicochemical,imbalanced,5,0.9083601286173634,0.8819461184384219,0.8564231738035264,0.794214086211614,0.9321315013143244
Random Forest,Physicochemical,imbalanced,6,0.9035369774919614,0.8782786367758302,0.85,0.7829388343279481,0.9428469759059654
Random Forest,Physicochemical,imbalanced,7,0.9146537842190016,0.8935376967688484,0.8691358024691358,0.8084570601214083,0.9486157138911903
Random Forest,Physicochemical,imbalanced,8,0.9066022544283414,0.886288318144159,0.8578431372549019,0.7902042268428793,0.9522001288778422
Random Forest,Physicochemical,imbalanced,9,0.9017713365539453,0.8781241369787351,0.8486352357320099,0.7790563003847129,0.9513831354137899
Random Forest,Physicochemical,imbalanced,10,0.8985507246376812,0.8689415907207954,0.8396946564885496,0.772061591231131,0.9343355886955721
