model,representation,dataset,stage,accuracy,balanced_accuracy,f1,mcc,roc_auc
SVM,Physicochemical,balanced,cv_mean,0.8625,0.8628209960475971,0.8532151706305562,0.7319538021116699,0.9149951371425613
SVM,Physicochemical,balanced,cv_std,0.02093749916977942,0.0208669680209256,0.026294469846875123,0.03806656094817908,0.018089097584520104
SVM,Physicochemical,test,test_score,0.8669811320754717,0.867366700962295,0.8580060422960725,0.7412149238693561,0.9302006828271465
SVM,Physicochemical,imbalanced,cv_mean,0.8803107735164215,0.845419097009328,0.8077038236582069,0.7300092144186451,0.9096182491323909
SVM,Physicochemical,imbalanced,cv_std,0.010533124893622983,0.014496036095855468,0.01923743389139871,0.02420660850158363,0.010989743171113824
SVM,Physicochemical,test,test_score,0.8835263835263836,0.8494863035724458,0.8135942327497425,0.7375092624124288,0.9155226178947542
Random Forest,Physicochemical,balanced,cv_mean,0.8808962264150944,0.8810308201692771,0.8776439270566385,0.763612760714084,0.9413042386696787
Random Forest,Physicochemical,balanced,cv_std,0.020729240367036494,0.020679005269980566,0.023058634292779392,0.04032248841066552,0.011287997231616364
Random Forest,Physicochemical,test,test_score,0.8867924528301887,0.8869597103502782,0.8839458413926499,0.7750681490781601,0.949907615409536
Random Forest,Physicochemical,imbalanced,cv_mean,0.9018684209163729,0.8775330930111661,0.8481022708783899,0.779320945675081,0.9421353164718889
Random Forest,Physicochemical,imbalanced,cv_std,0.01037571178793824,0.013708315911922349,0.01721848014770236,0.023716854058840754,0.00874254191248482
Random Forest,Physicochemical,test,test_score,0.9041184041184042,0.8812985466553227,0.8526211671612265,0.7844252001183607,0.9484227103251972
Gradient Boosting,Physicochemical,balanced,cv_mean,0.8613207547169811,0.8615114634002952,0.8560961973915846,0.7255443277110409,0.929817358626074
Gradient Boosting,Physicochemical,balanced,cv_std,0.013824859329955499,0.013781987746712219,0.01634539982841021,0.026249379331227164,0.012813818643881775
Gradient Boosting,Physicochemical,test,test_score,0.8594339622641509,0.8596911257391657,0.8534906588003933,0.7220956160456018,0.9395210241695177
Gradient Boosting,Physicochemical,imbalanced,cv_mean,0.8806341291662136,0.8513922218499443,0.8127237833122954,0.730397768190582,0.929399032616379
Gradient Boosting,Physicochemical,imbalanced,cv_std,0.016271340059383247,0.02245080618672485,0.028756034640845817,0.037646504023425724,0.011868781944121432
Gradient Boosting,Physicochemical,test,test_score,0.8764478764478765,0.850376612709094,0.80990099009901,0.7212312565165298,0.9360732313719581
