model,representation,dataset,fold,accuracy,balanced_accuracy,f1,mcc,roc_auc
1D-CNN,ESM-2,balanced,1,0.9139150943396226,0.9138742407048929,0.9150174621653085,0.827925809122529,0.9678036624168391
1D-CNN,ESM-2,balanced,2,0.8985849056603774,0.8986271499454865,0.8981042654028436,0.7973252662929554,0.9470106579445073
1D-CNN,ESM-2,balanced,3,0.8832547169811321,0.8830018022828916,0.8896321070234113,0.7707449886639125,0.957006652871415
1D-CNN,ESM-2,balanced,4,0.9056603773584906,0.9058585319182075,0.9019607843137255,0.8143304195187223,0.9623801259372983
1D-CNN,ESM-2,balanced,5,0.8856132075471698,0.8860830964526303,0.8782936010037641,0.7784862718627686,0.9571000239198518
1D-CNN,ESM-2,imbalanced,1,0.8882636655948553,0.8925740772059771,0.8477546549835706,0.7640536284296545,0.9552154308760846
1D-CNN,ESM-2,imbalanced,2,0.917135961383749,0.9077553858442372,0.8789659224441834,0.8159704152347829,0.9614572379195615
1D-CNN,ESM-2,imbalanced,3,0.9292035398230089,0.9101947466110412,0.8916256157635468,0.8414956091672882,0.9651938559139415
1D-CNN,ESM-2,imbalanced,4,0.910699919549477,0.9000508559311806,0.8692579505300353,0.8014638117110731,0.9605191327483464
1D-CNN,ESM-2,imbalanced,5,0.919549477071601,0.9084679435240575,0.8815165876777251,0.8207080385125374,0.9641451319093672
