model,representation,dataset,fold,accuracy,balanced_accuracy,f1,mcc,roc_auc
1D-CNN,ESM-2,balanced,1,0.9221698113207547,0.9220234519279977,0.9248291571753986,0.8458839717343676,0.9709409696726965
1D-CNN,ESM-2,balanced,2,0.9056603773584906,0.9056805286696482,0.9056603773584906,0.8113610573392964,0.9555436886723182
1D-CNN,ESM-2,balanced,3,0.9033018867924528,0.9035778652960417,0.8977556109725686,0.8123691783909601,0.9522283781679016
1D-CNN,ESM-2,balanced,4,0.8773584905660378,0.8774447633669314,0.8755980861244019,0.7552929682894101,0.9345393053423225
1D-CNN,ESM-2,balanced,5,0.9033018867924528,0.9031106067685735,0.90744920993228,0.8091340315573905,0.9594820105466926
1D-CNN,ESM-2,balanced,6,0.8938679245283019,0.8938766882495606,0.8941176470588236,0.7877446127291139,0.9494470774091627
1D-CNN,ESM-2,balanced,7,0.9056603773584906,0.9057917806999978,0.9033816425120773,0.8126692197830196,0.9569677146607926
1D-CNN,ESM-2,balanced,8,0.9033018867924528,0.903244109204993,0.9048723897911833,0.8068024340279384,0.9642880982577933
1D-CNN,ESM-2,balanced,9,0.9174528301886793,0.9174843690897359,0.91725768321513,0.8349966071649163,0.9659457535100016
1D-CNN,ESM-2,balanced,10,0.8891509433962265,0.8891188251001335,0.8904428904428905,0.7782809469623913,0.9516911437472185
1D-CNN,ESM-2,imbalanced,1,0.9437299035369775,0.9326667582921019,0.9164677804295943,0.8745316580945302,0.9739325636796775
1D-CNN,ESM-2,imbalanced,2,0.8971061093247589,0.8880126726126932,0.8511627906976744,0.7726271815838971,0.9459806926317481
1D-CNN,ESM-2,imbalanced,3,0.905144694533762,0.9008746857674163,0.8649885583524027,0.7925461099908133,0.9583892925605795
1D-CNN,ESM-2,imbalanced,4,0.9180064308681672,0.9016552452449005,0.8765133171912833,0.8161381343437288,0.9666540399692367
1D-CNN,ESM-2,imbalanced,5,0.9228295819935691,0.9064476508603372,0.883495145631068,0.8269692238095145,0.958199892099131
1D-CNN,ESM-2,imbalanced,6,0.9372990353697749,0.9275744114237174,0.9073634204275535,0.8601245030111281,0.977581872654017
1D-CNN,ESM-2,imbalanced,7,0.927536231884058,0.9078293289146644,0.8888888888888888,0.8378168165152909,0.9646276350915953
1D-CNN,ESM-2,imbalanced,8,0.9243156199677939,0.9109879867439934,0.8872901678657075,0.8307988663982436,0.9731657921384517
1D-CNN,ESM-2,imbalanced,9,0.9178743961352657,0.8937448218724109,0.8721804511278195,0.8161380646026721,0.9661695664181165
1D-CNN,ESM-2,imbalanced,10,0.9066022544283414,0.8885321734327534,0.8592233009708737,0.7904858544962137,0.9500138083402374
MLP,ESM-2,balanced,1,0.9410377358490566,0.9411143003359812,0.9403341288782816,0.8825723254761286,0.9754800525109584
MLP,ESM-2,balanced,2,0.9150943396226415,0.9151814520615,0.9138755980861244,0.8308066815100802,0.9674921567318605
MLP,ESM-2,balanced,3,0.9127358490566038,0.9129230358454041,0.9095354523227384,0.8281989537012433,0.9649111096277507
MLP,ESM-2,balanced,4,0.8726415094339622,0.8727054268740404,0.8714285714285714,0.7456099618260889,0.9279976859577688
MLP,ESM-2,balanced,5,0.9056603773584906,0.9055692766392986,0.9078341013824884,0.8118614449875011,0.9678036624168391
MLP,ESM-2,balanced,6,0.8938679245283019,0.8940324410920499,0.8905109489051095,0.7897801052060904,0.9514051131433149
MLP,ESM-2,balanced,7,0.9080188679245284,0.9080724473221635,0.9073634204275535,0.8162811254110449,0.9655341209977082
MLP,ESM-2,balanced,8,0.9056603773584906,0.9057027790757182,0.9052132701421801,0.8114777842065587,0.9660236299312461
MLP,ESM-2,balanced,9,0.9033018867924528,0.9033776116414125,0.9021479713603818,0.8070695429284608,0.9644216006942127
MLP,ESM-2,balanced,10,0.8891509433962265,0.889163328882955,0.8899297423887588,0.7783006802061089,0.9557409879839787
MLP,ESM-2,imbalanced,1,0.9340836012861736,0.9175371083012644,0.9002433090024331,0.8527750095141621,0.9723978376397288
MLP,ESM-2,imbalanced,2,0.9131832797427653,0.8912382198652387,0.8663366336633663,0.8049472238151549,0.9474614598757992
MLP,ESM-2,imbalanced,3,0.8938906752411575,0.9035664680831526,0.8577586206896551,0.7806793823088669,0.9639909546931138
MLP,ESM-2,imbalanced,4,0.9147909967845659,0.8969604095641494,0.8710462287104623,0.8087478198978988,0.9641057428515674
MLP,ESM-2,imbalanced,5,0.9292604501607717,0.9113376264104596,0.8921568627450981,0.8414893926481661,0.9604440005968984
MLP,ESM-2,imbalanced,6,0.9292604501607717,0.9147123982689946,0.893719806763285,0.8415683499940013,0.9765487792279348
MLP,ESM-2,imbalanced,7,0.9339774557165862,0.919462855564761,0.9007263922518159,0.8522899006615662,0.9681027340513669
MLP,ESM-2,imbalanced,8,0.9227053140096618,0.9086405689036179,0.8846153846153846,0.8270946264865502,0.9749378624689313
MLP,ESM-2,imbalanced,9,0.9227053140096618,0.9153721347694007,0.8878504672897196,0.8289054416373489,0.9664572401730646
MLP,ESM-2,imbalanced,10,0.9098228663446055,0.8954708644020989,0.8660287081339713,0.798437224396881,0.9513716284635921
