model,representation,dataset,stage,accuracy,balanced_accuracy,f1,mcc,roc_auc
1D-CNN,ESM-2,balanced,cv_mean,0.902122641509434,0.9021352988373614,0.9021364694583245,0.8054535027978804,0.95610741399869
1D-CNN,ESM-2,balanced,cv_std,0.012311682203903945,0.01228246135077835,0.01310651383645943,0.02495116807472721,0.009696857506247391
1D-CNN,ESM-2,balanced,test_score,0.8924528301886793,0.8926629902702472,0.8888888888888888,0.7872340826802269,0.9618179293747398
1D-CNN,ESM-2,imbalanced,cv_mean,0.9200444258042468,0.9058325735164988,0.8807573821582866,0.8218176412846032,0.9634715155582791
1D-CNN,ESM-2,imbalanced,cv_std,0.013706106441562439,0.014243320537956265,0.019440154296188315,0.02988658087213734,0.009807736898650178
1D-CNN,ESM-2,imbalanced,test_score,0.9157014157014157,0.897287359447843,0.8721951219512195,0.8108983350639933,0.9580975867017769
MLP,ESM-2,balanced,cv_mean,0.9047169811320754,0.9047842099770523,0.9038173205322189,0.8101958605459305,0.9606810119995639
MLP,ESM-2,balanced,cv_std,0.017013857355539088,0.017020959148112712,0.017087256790411235,0.03412321159907208,0.012564884968225653
MLP,ESM-2,balanced,test_score,0.9160377358490566,0.9160617463713683,0.9161168708765316,0.8321160867348567,0.967813137480375
MLP,ESM-2,imbalanced,cv_mean,0.9203680403456721,0.9074298654133139,0.8820482413865192,0.8236934371360596,0.9645818240041997
MLP,ESM-2,imbalanced,cv_std,0.011989095700030513,0.009536891382944723,0.014741470546035588,0.023240728008049865,0.009015392997502309
MLP,ESM-2,imbalanced,test_score,0.916988416988417,0.902750494769319,0.8763183125599233,0.8143427166156495,0.9627053269703948
