model,representation,dataset,fold,accuracy,balanced_accuracy,f1,mcc,roc_auc
MLP,ESM-2,balanced,1,0.9150943396226415,0.9153705805130944,0.9102244389027432,0.8361069479657318,0.9668190819482456
MLP,ESM-2,balanced,2,0.8903301886792453,0.890400062301137,0.8891537544696066,0.7810543305691265,0.9430445230625459
MLP,ESM-2,balanced,3,0.8985849056603774,0.8985270231181719,0.9002320185614849,0.7973645862094799,0.95946532274214
MLP,ESM-2,balanced,4,0.8938679245283019,0.893743185813141,0.897025171624714,0.7887421844841082,0.9636483990832831
MLP,ESM-2,balanced,5,0.9056603773584906,0.9058392252193117,0.9038461538461539,0.8124742891800033,0.9596143897378273
MLP,ESM-2,imbalanced,1,0.9091639871382636,0.8850094164117881,0.8592777085927771,0.7961089893617604,0.9511063208918216
MLP,ESM-2,imbalanced,2,0.9026548672566371,0.9012331845007211,0.8632768361581921,0.7891840406041455,0.9596485481637272
MLP,ESM-2,imbalanced,3,0.918744971842317,0.9084176622361668,0.8807556080283353,0.8191687605843706,0.9650703076065531
MLP,ESM-2,imbalanced,4,0.9211584875301689,0.9074450784675413,0.882494004796163,0.8236478716376744,0.9691301624516583
MLP,ESM-2,imbalanced,5,0.911504424778761,0.8826880089184639,0.8596938775510204,0.8021905270169606,0.9612460565104212
