model,representation,dataset,fold,accuracy,balanced_accuracy,f1,mcc,roc_auc
One-Class SVM,AAC,balanced,1,0.5495283018867925,0.5493959014752019,0.562929061784897,0.09894934728496384,0.5411076252141601
One-Class SVM,AAC,balanced,2,0.5283018867924528,0.5282913913178915,0.5305164319248826,0.056582782635783105,0.5193244776717176
One-Class SVM,AAC,balanced,3,0.49056603773584906,0.4906659546536724,0.4807692307692308,-0.01868472781084936,0.4986093496206306
One-Class SVM,AAC,balanced,4,0.49056603773584906,0.4904212001869034,0.5068493150684932,-0.019193506531621395,0.5036379413924305
One-Class SVM,AAC,balanced,5,0.5542452830188679,0.5544022428409319,0.5401459854014599,0.1090412986181541,0.557862180984803
One-Class SVM,AAC,balanced,6,0.5141509433962265,0.514473889148477,0.4797979797979798,0.029222152378106183,0.49113321318114056
One-Class SVM,AAC,balanced,7,0.4834905660377358,0.4833121954475669,0.5034013605442177,-0.03347069809655849,0.48721714171283614
One-Class SVM,AAC,balanced,8,0.5235849056603774,0.5232405491400218,0.5570175438596491,0.04698562264031229,0.5289144026878492
One-Class SVM,AAC,balanced,9,0.5377358490566038,0.537881316334023,0.5242718446601942,0.07590463384456544,0.5141178826513584
One-Class SVM,AAC,balanced,10,0.5141509433962265,0.5138406764574989,0.5318181818181819,0.02774067546450496,0.5214953271028037
Isolation Forest,AAC,balanced,1,0.5,0.5023251674343057,0.018518518518518517,0.027740455086540508,0.2234163273479741
Isolation Forest,AAC,balanced,2,0.49764150943396224,0.5,0.0,0.0,0.31604476781701263
Isolation Forest,AAC,balanced,3,0.49764150943396224,0.5,0.0,0.0,0.25759295107135705
Isolation Forest,AAC,balanced,4,0.49528301886792453,0.4976303317535545,0.0,-0.04885155477793626,0.3309747902899228
Isolation Forest,AAC,balanced,5,0.49528301886792453,0.4976080813474846,0.009259259259259259,-0.028536831787589517,0.2719889637985893
Isolation Forest,AAC,balanced,6,0.49292452830188677,0.495260663507109,0.0,-0.06916833895415367,0.2647130810137285
Isolation Forest,AAC,balanced,7,0.49764150943396224,0.5,0.0,0.0,0.247135260218499
Isolation Forest,AAC,balanced,8,0.49528301886792453,0.4976303317535545,0.0,-0.04885155477793626,0.2909018089580135
Isolation Forest,AAC,balanced,9,0.49764150943396224,0.5,0.0,0.0,0.32358765547471235
Isolation Forest,AAC,balanced,10,0.49528301886792453,0.5,0.0,0.0,0.29530485091232755
