model,representation,fold,accuracy,balanced_accuracy,f1,mcc,roc_auc
One-Class SVM,AAC,1,0.6403301886792453,0.641017511069577,0.5804676753782668,0.29470476298972004,0.6618939545646707
One-Class SVM,AAC,2,0.6391509433962265,0.6399216785706339,0.5702247191011236,0.2959544352887934,0.6838328549496028
One-Class SVM,AAC,3,0.6391509433962265,0.6396991745099347,0.5930851063829787,0.287171151100297,0.6807122354982978
One-Class SVM,AAC,4,0.6320754716981132,0.6328015486282624,0.5666666666666667,0.2790394534395234,0.6901019068598001
One-Class SVM,AAC,5,0.6214622641509434,0.6224362647204437,0.563265306122449,0.2545791397498829,0.6790679045653539
One-Class SVM,Physicochemical,1,0.589622641509434,0.5903700242529426,0.5139664804469274,0.19050190420039095,0.6413902053712479
One-Class SVM,Physicochemical,2,0.6403301886792453,0.6409618850544022,0.5861601085481682,0.29249967116262815,0.6771466079255946
One-Class SVM,Physicochemical,3,0.5919811320754716,0.5923836860022695,0.5552699228791774,0.1874882851378011,0.6422134703958348
One-Class SVM,Physicochemical,4,0.5943396226415094,0.5949091070912044,0.5401069518716578,0.19555913171680409,0.6423414102307367
One-Class SVM,Physicochemical,5,0.6379716981132075,0.6384792537006236,0.6118836915297092,0.2797668949703884,0.683757308071003
Isolation Forest,AAC,1,0.5188679245283019,0.5166321785372583,0.6741214057507987,0.10462580075310036,0.8591438043744298
Isolation Forest,AAC,2,0.5153301886792453,0.51307767616759,0.6725099601593626,0.08836240627231308,0.8280878001023517
Isolation Forest,AAC,3,0.5129716981132075,0.5106746323120397,0.6730007917656373,0.09433761095437829,0.8589658011258705
Isolation Forest,AAC,4,0.5165094339622641,0.5142402598847429,0.6740858505564388,0.10466157874400157,0.86408339452195
Isolation Forest,AAC,5,0.5200471698113207,0.5166437666535014,0.6767275615567911,0.12232492128086213,0.86158749937419
Isolation Forest,Physicochemical,1,0.6261792452830188,0.6254311016176045,0.6781725888324873,0.26463143505701375,0.7145551031306321
Isolation Forest,Physicochemical,2,0.6450471698113207,0.6440880671072247,0.7057673509286413,0.31564216232133185,0.7266426362281111
Isolation Forest,Physicochemical,3,0.6332547169811321,0.6322953518901719,0.6959921798631477,0.2898088077245198,0.7129530738935985
Isolation Forest,Physicochemical,4,0.6580188679245284,0.6573882473355139,0.6991701244813278,0.32680698856263585,0.6998976481320784
Isolation Forest,Physicochemical,5,0.652122641509434,0.650578248510572,0.7155255544840887,0.33511496810742386,0.7499262934798934
