model,representation,stage,accuracy,balanced_accuracy,f1,mcc,roc_auc
One-Class SVM,AAC,cv_mean,0.634433962264151,0.6351752354997704,0.5747418947302969,0.2822897885136434,0.679121771287545
One-Class SVM,AAC,cv_std,0.007954444317943433,0.00782691982370306,0.012109750697082632,0.016905077613221638,0.010512942422585627
One-Class SVM,AAC,test,0.6547169811320754,0.6554748995161825,0.6030368763557483,0.3225693743308073,0.684365109597673
One-Class SVM,Physicochemical,cv_mean,0.6108490566037735,0.6114207912202885,0.561477431055128,0.22916317743760253,0.6573698003988834
One-Class SVM,Physicochemical,cv_std,0.025903163486425473,0.025898930935898158,0.03841401641730942,0.05228042236546603,0.02120340175861732
One-Class SVM,Physicochemical,test,0.6396226415094339,0.6401664702678262,0.6029106029106029,0.285561542344508,0.6836780103314097
Isolation Forest,AAC,cv_mean,0.5167452830188679,0.5142537027110264,0.6740891139578057,0.10286246360093107,0.8543736598997584
Isolation Forest,AAC,cv_std,0.002815409525073887,0.0025279693909557627,0.001630999007922654,0.012923410998378097,0.014841722364966371
Isolation Forest,AAC,test,0.529245283018868,0.5265868254945869,0.6803331197950032,0.15537954534641676,0.8488417215218715
Isolation Forest,Physicochemical,cv_mean,0.6429245283018867,0.6419562032922174,0.6989255597179386,0.306400872354585,0.7207949509728626
Isolation Forest,Physicochemical,cv_std,0.013142105392221753,0.013071376415626914,0.013799640059394967,0.02892357522287471,0.018841168636434882
Isolation Forest,Physicochemical,test,0.6622641509433962,0.6612280208337042,0.7154213036565977,0.3467751943336616,0.7430569153159055
