model,representation,dataset,fold,accuracy,balanced_accuracy,f1,mcc,roc_auc
One-Class SVM,Physicochemical,balanced,1,0.6367924528301887,0.6366731192844269,0.6467889908256881,0.2737118948604358,0.7024230692210134
One-Class SVM,Physicochemical,balanced,2,0.6509433962264151,0.6508021271388202,0.6621004566210046,0.30216954824172826,0.6893175800458359
One-Class SVM,Physicochemical,balanced,3,0.6202830188679245,0.6203524464321474,0.6157517899761337,0.24079867382095232,0.6567874863716263
One-Class SVM,Physicochemical,balanced,4,0.6037735849056604,0.6040095231737979,0.5841584158415841,0.20904485648669197,0.646641301203747
One-Class SVM,Physicochemical,balanced,5,0.6462264150943396,0.6462852947066284,0.6428571428571429,0.29264873848694795,0.6860467703535589
One-Class SVM,Physicochemical,balanced,6,0.5919811320754716,0.5919831786930112,0.5929411764705882,0.18396431075709846,0.6301092494938032
One-Class SVM,Physicochemical,balanced,7,0.625,0.6249137796764791,0.6327944572748267,0.25000284474384227,0.6580112587054714
One-Class SVM,Physicochemical,balanced,8,0.6391509433962265,0.6389537859065928,0.654627539503386,0.2789116314553129,0.7194668802705649
One-Class SVM,Physicochemical,balanced,9,0.5778301886792453,0.5779431724628974,0.5686746987951807,0.156058321555864,0.6387424070489287
One-Class SVM,Physicochemical,balanced,10,0.6014150943396226,0.6016243880729861,0.5947242206235012,0.2034231230051532,0.6477970627503338
Isolation Forest,Physicochemical,balanced,1,0.5778301886792453,0.5792114456088824,0.4053156146179402,0.19531607554913172,0.6617270765191464
Isolation Forest,Physicochemical,balanced,2,0.5801886792452831,0.5816923658856774,0.38620689655172413,0.21190070365039473,0.6548962018556839
Isolation Forest,Physicochemical,balanced,3,0.5636792452830188,0.5653494426273279,0.32727272727272727,0.1849493387002621,0.6504238702356318
Isolation Forest,Physicochemical,balanced,4,0.5849056603773585,0.5865429544089179,0.3669064748201439,0.2402087589946458,0.6219656008722159
Isolation Forest,Physicochemical,balanced,5,0.5919811320754716,0.5935852079300448,0.38434163701067614,0.2550285368717207,0.6375631355272233
Isolation Forest,Physicochemical,balanced,6,0.5330188679245284,0.5345437554235365,0.3125,0.09052889720649178,0.6320895356340253
Isolation Forest,Physicochemical,balanced,7,0.5660377358490566,0.567585608437354,0.35664335664335667,0.1790194690002957,0.6015397281000379
Isolation Forest,Physicochemical,balanced,8,0.5731132075471698,0.574561110740271,0.3864406779661017,0.18877888424297273,0.6745210600093452
Isolation Forest,Physicochemical,balanced,9,0.5872641509433962,0.5888236210310838,0.38596491228070173,0.23656577793723466,0.6064125670293483
Isolation Forest,Physicochemical,balanced,10,0.5330188679245284,0.536270582999555,0.29285714285714287,0.10004320235668876,0.6422118380062305
