model,representation,fold,accuracy,balanced_accuracy,f1,mcc,roc_auc
One-Class SVM,AAC,1,0.5365566037735849,0.5350833277707319,0.6475336322869956,0.08988425610922003,0.5695269563669536
One-Class SVM,AAC,2,0.5683962264150944,0.5668068442249071,0.6778169014084507,0.18098528269221006,0.6017288565516321
One-Class SVM,AAC,3,0.5330188679245284,0.5313285717464343,0.6568457538994801,0.08988253325143822,0.5675077320161093
One-Class SVM,AAC,4,0.5589622641509434,0.5574727988785795,0.6654740608228981,0.14833308245343144,0.583060765858977
One-Class SVM,AAC,5,0.5542452830188679,0.5518198557021032,0.6690017513134852,0.14249589027097112,0.5833884973326584
One-Class SVM,Physicochemical,1,0.5011792452830188,0.4994493024497697,0.6356589147286822,-0.00162039641602754,0.5072870079878957
One-Class SVM,Physicochemical,2,0.5153301886792453,0.5136116859132679,0.6453839516824849,0.03975594054897584,0.5189684711745989
One-Class SVM,Physicochemical,3,0.5212264150943396,0.5193912288899273,0.6559322033898305,0.061765612671172594,0.5263778563958792
One-Class SVM,Physicochemical,4,0.5153301886792453,0.5136561867254077,0.6429192006950478,0.03877920558781358,0.5284693945664508
One-Class SVM,Physicochemical,5,0.535377358490566,0.5326005329120472,0.6672297297297297,0.10532732259011195,0.5305701268864698
Isolation Forest,AAC,1,0.6875,0.6864750906704048,0.7439613526570048,0.4144806409772684,0.8615857864406026
Isolation Forest,AAC,2,0.6768867924528302,0.6760229624190641,0.7276341948310139,0.37859855554145583,0.8226698262243286
Isolation Forest,AAC,3,0.6568396226415094,0.6556137774514385,0.7282913165266106,0.36467936470393736,0.853508889037225
Isolation Forest,AAC,4,0.7063679245283019,0.7054435618450037,0.7551622418879056,0.4470161919478352,0.8631544400685314
Isolation Forest,AAC,5,0.6497641509433962,0.6478858744930939,0.724233983286908,0.3495605398865965,0.8598964214789144
Isolation Forest,Physicochemical,1,0.5436320754716981,0.5420810804797188,0.6572187776793623,0.11176768080759415,0.6978506107736466
Isolation Forest,Physicochemical,2,0.5731132075471698,0.5715461807177982,0.6802120141342756,0.19161563960510314,0.7194780054736
Isolation Forest,Physicochemical,3,0.5589622641509434,0.5572947956300203,0.6747826086956522,0.16215340386556856,0.6900907816567652
Isolation Forest,Physicochemical,4,0.5719339622641509,0.5704948490309948,0.672678088367899,0.1780721824967306,0.6936953474400909
Isolation Forest,Physicochemical,5,0.5825471698113207,0.5801064711543276,0.6905594405594405,0.22164470266789904,0.7433455528545283
