model,representation,dataset,fold,accuracy,balanced_accuracy,f1,mcc,roc_auc
SVM,Physicochemical,balanced,1,0.8761792452830188,0.8764601828983378,0.8689138576779026,0.7579906793651702,0.9292325834946487
SVM,Physicochemical,balanced,2,0.8290094339622641,0.8295118260908261,0.80946123521682,0.674032659879222,0.8854827225596866
SVM,Physicochemical,balanced,3,0.8596698113207547,0.8599170059853593,0.8525402726146221,0.7235565178207563,0.9130565382818236
SVM,Physicochemical,balanced,4,0.8608490566037735,0.8611463409207218,0.8521303258145363,0.7277786204495869,0.9248937543110162
SVM,Physicochemical,balanced,5,0.8820754716981132,0.8823699566661289,0.8777506112469438,0.7670475095246885,0.9224106760417652
SVM,Physicochemical,imbalanced,1,0.8705787781350482,0.8299212575854429,0.7878787878787878,0.7082699226505431,0.9021897098827893
SVM,Physicochemical,imbalanced,2,0.8833467417538214,0.8522807592187149,0.8157560355781448,0.7366256776133068,0.9158822785755741
SVM,Physicochemical,imbalanced,3,0.8769106999195495,0.8389590911441722,0.8,0.7224520797966677,0.9058949781922871
SVM,Physicochemical,imbalanced,4,0.8905872888173774,0.8594738566035134,0.826530612244898,0.7535290256221003,0.9204722418558678
SVM,Physicochemical,imbalanced,5,0.8688656476267096,0.830592284839186,0.78748370273794,0.7033282784382889,0.8994934519397084
Random Forest,Physicochemical,balanced,1,0.8938679245283019,0.8939434394677703,0.8926014319809069,0.7881938472915438,0.9465016799056583
Random Forest,Physicochemical,balanced,2,0.8584905660377359,0.8587766726742763,0.85,0.7225871708366352,0.9191559308457379
Random Forest,Physicochemical,balanced,3,0.875,0.8750862203235209,0.8732057416267942,0.7505733612131181,0.9379519613732951
Random Forest,Physicochemical,balanced,4,0.8773584905660378,0.8774892641790712,0.8743961352657005,0.755988465975535,0.9411254255390161
Random Forest,Physicochemical,balanced,5,0.8915094339622641,0.8916541968214411,0.8899521531100478,0.7837794123459162,0.9455739930020527
Random Forest,Physicochemical,imbalanced,1,0.889871382636656,0.8613780925818166,0.8276729559748428,0.7518666477989527,0.9325988436588994
Random Forest,Physicochemical,imbalanced,2,0.9018503620273531,0.8815229196476287,0.8508557457212714,0.7793968439596287,0.9428258658437774
Random Forest,Physicochemical,imbalanced,3,0.8946098149637972,0.8659041150206009,0.8343868520859671,0.76263973123875,0.9342550611707782
Random Forest,Physicochemical,imbalanced,4,0.916331456154465,0.8953474006010769,0.8716049382716049,0.8121991245714208,0.9471170146131788
Random Forest,Physicochemical,imbalanced,5,0.8994368463395012,0.8740697961740249,0.8439450686641697,0.7736115943854529,0.9395331597910598
Gradient Boosting,Physicochemical,balanced,1,0.8773584905660378,0.8775337649912112,0.8731707317073171,0.7569562557328995,0.9373484191086487
Gradient Boosting,Physicochemical,balanced,2,0.8384433962264151,0.8388347462341188,0.8245838668373879,0.6868174547087005,0.9058084685045502
Gradient Boosting,Physicochemical,balanced,3,0.8537735849056604,0.8539260841510358,0.8495145631067961,0.7091788888391074,0.9290072981331908
Gradient Boosting,Physicochemical,balanced,4,0.8643867924528302,0.8645562156509357,0.8599269183922046,0.7308157177223042,0.9359160492178982
Gradient Boosting,Physicochemical,balanced,5,0.8797169811320755,0.8798277770669811,0.8785714285714286,0.759892308373731,0.9339394883376815
Gradient Boosting,Physicochemical,imbalanced,1,0.8657556270096463,0.8268082520445224,0.7822685788787483,0.696344743848344,0.9177146067608977
Gradient Boosting,Physicochemical,imbalanced,2,0.8849557522123894,0.8624921704851713,0.824969400244798,0.7410308320368449,0.9361901724504513
Gradient Boosting,Physicochemical,imbalanced,3,0.8769106999195495,0.8456996569379558,0.8060836501901141,0.7216890625286388,0.9243884358784284
Gradient Boosting,Physicochemical,imbalanced,4,0.9010458567980691,0.8764172140144005,0.8468244084682441,0.7772946497455059,0.9415142425339471
Gradient Boosting,Physicochemical,imbalanced,5,0.8704746580852776,0.836871699392602,0.7943805874840357,0.7067395276344949,0.9277299866108114
