model_1,representation_1,dataset_1,model_2,representation_2,dataset_2,metric,mean_1,mean_2,wilcoxon_statistic,p_value,significant,better_model
SVM,AAC,balanced,SVM,Physicochemical,imbalanced,balanced_accuracy,0.8904960184398533,0.845419097009328,0.0,0.001953125,True,SVM | AAC | balanced
SVM,AAC,balanced,Gradient Boosting,Physicochemical,balanced,balanced_accuracy,0.8904960184398533,0.8615114634002952,0.0,0.001953125,True,SVM | AAC | balanced
SVM,AAC,balanced,Gradient Boosting,DPC,imbalanced,balanced_accuracy,0.8904960184398533,0.8436135796139462,0.0,0.001953125,True,SVM | AAC | balanced
SVM,AAC,balanced,Gradient Boosting,DPC,balanced,balanced_accuracy,0.8904960184398533,0.8588269710688575,0.0,0.001953125,True,SVM | AAC | balanced
SVM,AAC,imbalanced,SVM,DPC,imbalanced,balanced_accuracy,0.8829677179034372,0.8981140873511887,0.0,0.001953125,True,SVM | DPC | imbalanced
SVM,AAC,imbalanced,Gradient Boosting,DPC,imbalanced,balanced_accuracy,0.8829677179034372,0.8436135796139462,0.0,0.001953125,True,SVM | AAC | imbalanced
SVM,AAC,imbalanced,Gradient Boosting,DPC,balanced,balanced_accuracy,0.8829677179034372,0.8588269710688575,0.0,0.001953125,True,SVM | AAC | imbalanced
SVM,AAC,imbalanced,Random Forest,AAC,imbalanced,balanced_accuracy,0.8829677179034372,0.8974587898205659,0.0,0.001953125,True,Random Forest | AAC | imbalanced
SVM,AAC,imbalanced,Random Forest,DPC,imbalanced,balanced_accuracy,0.8829677179034372,0.9030882571600312,0.0,0.001953125,True,Random Forest | DPC | imbalanced
Random Forest,AAC,balanced,Gradient Boosting,DPC,imbalanced,balanced_accuracy,0.9003386568246793,0.8436135796139462,0.0,0.001953125,True,Random Forest | AAC | balanced
Random Forest,AAC,balanced,SVM,Physicochemical,balanced,balanced_accuracy,0.9003386568246793,0.8628209960475971,0.0,0.001953125,True,Random Forest | AAC | balanced
Random Forest,AAC,balanced,Gradient Boosting,AAC,balanced,balanced_accuracy,0.9003386568246793,0.8777165436106324,0.0,0.001953125,True,Random Forest | AAC | balanced
SVM,AAC,imbalanced,MLP,ESM-2,imbalanced,balanced_accuracy,0.8829677179034372,0.9074298654133139,0.0,0.001953125,True,MLP | ESM-2 | imbalanced
SVM,AAC,imbalanced,1D-CNN,ESM-2,imbalanced,balanced_accuracy,0.8829677179034372,0.9058325735164988,0.0,0.001953125,True,1D-CNN | ESM-2 | imbalanced
SVM,AAC,imbalanced,Gradient Boosting,Physicochemical,imbalanced,balanced_accuracy,0.8829677179034372,0.8513922218499443,0.0,0.001953125,True,SVM | AAC | imbalanced
SVM,AAC,imbalanced,SVM,Physicochemical,imbalanced,balanced_accuracy,0.8829677179034372,0.845419097009328,0.0,0.001953125,True,SVM | AAC | imbalanced
Random Forest,AAC,balanced,Gradient Boosting,DPC,balanced,balanced_accuracy,0.9003386568246793,0.8588269710688575,0.0,0.001953125,True,Random Forest | AAC | balanced
Random Forest,AAC,balanced,Gradient Boosting,Physicochemical,balanced,balanced_accuracy,0.9003386568246793,0.8615114634002952,0.0,0.001953125,True,Random Forest | AAC | balanced
Random Forest,AAC,balanced,Gradient Boosting,Physicochemical,imbalanced,balanced_accuracy,0.9003386568246793,0.8513922218499443,0.0,0.001953125,True,Random Forest | AAC | balanced
Random Forest,AAC,balanced,SVM,Physicochemical,imbalanced,balanced_accuracy,0.9003386568246793,0.845419097009328,0.0,0.001953125,True,Random Forest | AAC | balanced
Random Forest,AAC,balanced,Random Forest,Physicochemical,balanced,balanced_accuracy,0.9003386568246793,0.8810308201692771,0.0,0.001953125,True,Random Forest | AAC | balanced
Random Forest,AAC,imbalanced,Gradient Boosting,AAC,imbalanced,balanced_accuracy,0.8974587898205659,0.8752663015071711,0.0,0.001953125,True,Random Forest | AAC | imbalanced
Gradient Boosting,AAC,balanced,1D-CNN,ESM-2,balanced,balanced_accuracy,0.8777165436106324,0.9021352988373614,0.0,0.001953125,True,1D-CNN | ESM-2 | balanced
Gradient Boosting,AAC,imbalanced,SVM,DPC,balanced,balanced_accuracy,0.8752663015071711,0.9040300489505964,0.0,0.001953125,True,SVM | DPC | balanced
Gradient Boosting,AAC,balanced,MLP,ESM-2,balanced,balanced_accuracy,0.8777165436106324,0.9047842099770523,0.0,0.001953125,True,MLP | ESM-2 | balanced
Random Forest,AAC,imbalanced,Gradient Boosting,Physicochemical,balanced,balanced_accuracy,0.8974587898205659,0.8615114634002952,0.0,0.001953125,True,Random Forest | AAC | imbalanced
Gradient Boosting,AAC,balanced,SVM,DPC,balanced,balanced_accuracy,0.8777165436106324,0.9040300489505964,0.0,0.001953125,True,SVM | DPC | balanced
Random Forest,AAC,imbalanced,Gradient Boosting,Physicochemical,imbalanced,balanced_accuracy,0.8974587898205659,0.8513922218499443,0.0,0.001953125,True,Random Forest | AAC | imbalanced
Random Forest,AAC,imbalanced,SVM,Physicochemical,balanced,balanced_accuracy,0.8974587898205659,0.8628209960475971,0.0,0.001953125,True,Random Forest | AAC | imbalanced
Random Forest,AAC,imbalanced,SVM,Physicochemical,imbalanced,balanced_accuracy,0.8974587898205659,0.845419097009328,0.0,0.001953125,True,Random Forest | AAC | imbalanced
Random Forest,AAC,imbalanced,Gradient Boosting,DPC,balanced,balanced_accuracy,0.8974587898205659,0.8588269710688575,0.0,0.001953125,True,Random Forest | AAC | imbalanced
Random Forest,AAC,imbalanced,Gradient Boosting,DPC,imbalanced,balanced_accuracy,0.8974587898205659,0.8436135796139462,0.0,0.001953125,True,Random Forest | AAC | imbalanced
Gradient Boosting,AAC,imbalanced,SVM,DPC,imbalanced,balanced_accuracy,0.8752663015071711,0.8981140873511887,0.0,0.001953125,True,SVM | DPC | imbalanced
