model_1,representation_1,dataset_1,model_2,representation_2,dataset_2,metric,mean_1,mean_2,wilcoxon_statistic,p_value,significant,better_model
SVM,AAC,balanced,SVM,Physicochemical,imbalanced,f1,0.8869660918432238,0.8077038236582069,0.0,0.001953125,True,SVM | AAC | balanced
SVM,AAC,balanced,Gradient Boosting,Physicochemical,balanced,f1,0.8869660918432238,0.8560961973915846,0.0,0.001953125,True,SVM | AAC | balanced
SVM,AAC,balanced,Gradient Boosting,DPC,imbalanced,f1,0.8869660918432238,0.8069413985275935,0.0,0.001953125,True,SVM | AAC | balanced
SVM,AAC,balanced,Gradient Boosting,DPC,balanced,f1,0.8869660918432238,0.8491006115204476,0.0,0.001953125,True,SVM | AAC | balanced
SVM,AAC,imbalanced,SVM,DPC,balanced,f1,0.8567986410745443,0.8988212183025691,0.0,0.001953125,True,SVM | DPC | balanced
SVM,AAC,imbalanced,SVM,DPC,imbalanced,f1,0.8567986410745443,0.8802877935849189,0.0,0.001953125,True,SVM | DPC | imbalanced
SVM,AAC,imbalanced,Random Forest,AAC,imbalanced,f1,0.8567986410745443,0.8750527779918432,0.0,0.001953125,True,Random Forest | AAC | imbalanced
SVM,AAC,balanced,Gradient Boosting,Physicochemical,imbalanced,f1,0.8869660918432238,0.8127237833122954,0.0,0.001953125,True,SVM | AAC | balanced
SVM,AAC,imbalanced,Gradient Boosting,DPC,imbalanced,f1,0.8567986410745443,0.8069413985275935,0.0,0.001953125,True,SVM | AAC | imbalanced
Random Forest,AAC,balanced,Gradient Boosting,DPC,imbalanced,f1,0.8983087593714739,0.8069413985275935,0.0,0.001953125,True,Random Forest | AAC | balanced
Random Forest,AAC,balanced,SVM,Physicochemical,balanced,f1,0.8983087593714739,0.8532151706305562,0.0,0.001953125,True,Random Forest | AAC | balanced
Random Forest,AAC,balanced,Gradient Boosting,AAC,balanced,f1,0.8983087593714739,0.8747323701632036,0.0,0.001953125,True,Random Forest | AAC | balanced
SVM,AAC,imbalanced,Gradient Boosting,Physicochemical,imbalanced,f1,0.8567986410745443,0.8127237833122954,0.0,0.001953125,True,SVM | AAC | imbalanced
SVM,AAC,imbalanced,1D-CNN,ESM-2,balanced,f1,0.8567986410745443,0.9021364694583245,0.0,0.001953125,True,1D-CNN | ESM-2 | balanced
SVM,AAC,imbalanced,MLP,ESM-2,balanced,f1,0.8567986410745443,0.9038173205322189,0.0,0.001953125,True,MLP | ESM-2 | balanced
SVM,AAC,imbalanced,SVM,Physicochemical,imbalanced,f1,0.8567986410745443,0.8077038236582069,0.0,0.001953125,True,SVM | AAC | imbalanced
Random Forest,AAC,imbalanced,Gradient Boosting,AAC,imbalanced,f1,0.8750527779918432,0.8448556600689132,0.0,0.001953125,True,Random Forest | AAC | imbalanced
Random Forest,AAC,balanced,Random Forest,Physicochemical,imbalanced,f1,0.8983087593714739,0.8481022708783899,0.0,0.001953125,True,Random Forest | AAC | balanced
Random Forest,AAC,balanced,Gradient Boosting,DPC,balanced,f1,0.8983087593714739,0.8491006115204476,0.0,0.001953125,True,Random Forest | AAC | balanced
Random Forest,AAC,balanced,SVM,Physicochemical,imbalanced,f1,0.8983087593714739,0.8077038236582069,0.0,0.001953125,True,Random Forest | AAC | balanced
Random Forest,AAC,balanced,Random Forest,Physicochemical,balanced,f1,0.8983087593714739,0.8776439270566385,0.0,0.001953125,True,Random Forest | AAC | balanced
Random Forest,AAC,balanced,Gradient Boosting,Physicochemical,imbalanced,f1,0.8983087593714739,0.8127237833122954,0.0,0.001953125,True,Random Forest | AAC | balanced
Random Forest,AAC,balanced,Gradient Boosting,Physicochemical,balanced,f1,0.8983087593714739,0.8560961973915846,0.0,0.001953125,True,Random Forest | AAC | balanced
Gradient Boosting,AAC,balanced,1D-CNN,ESM-2,balanced,f1,0.8747323701632036,0.9021364694583245,0.0,0.001953125,True,1D-CNN | ESM-2 | balanced
Gradient Boosting,AAC,balanced,SVM,Physicochemical,imbalanced,f1,0.8747323701632036,0.8077038236582069,0.0,0.001953125,True,Gradient Boosting | AAC | balanced
Gradient Boosting,AAC,balanced,Gradient Boosting,DPC,imbalanced,f1,0.8747323701632036,0.8069413985275935,0.0,0.001953125,True,Gradient Boosting | AAC | balanced
Gradient Boosting,AAC,balanced,Gradient Boosting,Physicochemical,imbalanced,f1,0.8747323701632036,0.8127237833122954,0.0,0.001953125,True,Gradient Boosting | AAC | balanced
Random Forest,AAC,imbalanced,MLP,ESM-2,balanced,f1,0.8750527779918432,0.9038173205322189,0.0,0.001953125,True,MLP | ESM-2 | balanced
Random Forest,AAC,imbalanced,Gradient Boosting,Physicochemical,imbalanced,f1,0.8750527779918432,0.8127237833122954,0.0,0.001953125,True,Random Forest | AAC | imbalanced
Random Forest,AAC,imbalanced,SVM,Physicochemical,imbalanced,f1,0.8750527779918432,0.8077038236582069,0.0,0.001953125,True,Random Forest | AAC | imbalanced
Random Forest,AAC,imbalanced,Gradient Boosting,DPC,balanced,f1,0.8750527779918432,0.8491006115204476,0.0,0.001953125,True,Random Forest | AAC | imbalanced
