model_1,representation_1,dataset_1,model_2,representation_2,dataset_2,metric,mean_1,mean_2,wilcoxon_statistic,p_value,significant,better_model
SVM,AAC,balanced,Gradient Boosting,Physicochemical,balanced,mcc,0.7832365905643519,0.7255443277110409,0.0,0.001953125,True,SVM | AAC | balanced
SVM,AAC,balanced,Gradient Boosting,DPC,balanced,mcc,0.7832365905643519,0.7240287077940122,0.0,0.001953125,True,SVM | AAC | balanced
SVM,AAC,imbalanced,Gradient Boosting,DPC,imbalanced,mcc,0.7934708283826285,0.7344367570867021,0.0,0.001953125,True,SVM | AAC | imbalanced
SVM,AAC,imbalanced,Gradient Boosting,DPC,balanced,mcc,0.7934708283826285,0.7240287077940122,0.0,0.001953125,True,SVM | AAC | imbalanced
SVM,AAC,imbalanced,SVM,DPC,imbalanced,mcc,0.7934708283826285,0.8309790850127419,0.0,0.001953125,True,SVM | DPC | imbalanced
SVM,AAC,imbalanced,SVM,Physicochemical,balanced,mcc,0.7934708283826285,0.7319538021116699,0.0,0.001953125,True,SVM | AAC | imbalanced
SVM,AAC,balanced,MLP,ESM-2,imbalanced,mcc,0.7832365905643519,0.8236934371360596,0.0,0.001953125,True,MLP | ESM-2 | imbalanced
SVM,AAC,imbalanced,Random Forest,AAC,imbalanced,mcc,0.7934708283826285,0.8183167446928847,0.0,0.001953125,True,Random Forest | AAC | imbalanced
Random Forest,AAC,balanced,Gradient Boosting,DPC,balanced,mcc,0.8016876251944154,0.7240287077940122,0.0,0.001953125,True,Random Forest | AAC | balanced
Random Forest,AAC,balanced,SVM,Physicochemical,balanced,mcc,0.8016876251944154,0.7319538021116699,0.0,0.001953125,True,Random Forest | AAC | balanced
Random Forest,AAC,balanced,SVM,Physicochemical,imbalanced,mcc,0.8016876251944154,0.7300092144186451,0.0,0.001953125,True,Random Forest | AAC | balanced
Random Forest,AAC,balanced,Random Forest,Physicochemical,balanced,mcc,0.8016876251944154,0.763612760714084,0.0,0.001953125,True,Random Forest | AAC | balanced
Random Forest,AAC,balanced,Gradient Boosting,AAC,balanced,mcc,0.8016876251944154,0.7568563059887767,0.0,0.001953125,True,Random Forest | AAC | balanced
SVM,AAC,imbalanced,Gradient Boosting,Physicochemical,imbalanced,mcc,0.7934708283826285,0.730397768190582,0.0,0.001953125,True,SVM | AAC | imbalanced
SVM,AAC,imbalanced,Gradient Boosting,Physicochemical,balanced,mcc,0.7934708283826285,0.7255443277110409,0.0,0.001953125,True,SVM | AAC | imbalanced
SVM,AAC,imbalanced,SVM,Physicochemical,imbalanced,mcc,0.7934708283826285,0.7300092144186451,0.0,0.001953125,True,SVM | AAC | imbalanced
Random Forest,AAC,balanced,Gradient Boosting,Physicochemical,imbalanced,mcc,0.8016876251944154,0.730397768190582,0.0,0.001953125,True,Random Forest | AAC | balanced
Random Forest,AAC,balanced,Gradient Boosting,Physicochemical,balanced,mcc,0.8016876251944154,0.7255443277110409,0.0,0.001953125,True,Random Forest | AAC | balanced
Random Forest,AAC,imbalanced,Gradient Boosting,AAC,balanced,mcc,0.8183167446928847,0.7568563059887767,0.0,0.001953125,True,Random Forest | AAC | imbalanced
Random Forest,AAC,imbalanced,Gradient Boosting,AAC,imbalanced,mcc,0.8183167446928847,0.7747140525056055,0.0,0.001953125,True,Random Forest | AAC | imbalanced
Gradient Boosting,AAC,imbalanced,Gradient Boosting,Physicochemical,imbalanced,mcc,0.7747140525056055,0.730397768190582,0.0,0.001953125,True,Gradient Boosting | AAC | imbalanced
Gradient Boosting,AAC,balanced,MLP,ESM-2,imbalanced,mcc,0.7568563059887767,0.8236934371360596,0.0,0.001953125,True,MLP | ESM-2 | imbalanced
Gradient Boosting,AAC,balanced,MLP,ESM-2,balanced,mcc,0.7568563059887767,0.8101958605459305,0.0,0.001953125,True,MLP | ESM-2 | balanced
Gradient Boosting,AAC,balanced,1D-CNN,ESM-2,balanced,mcc,0.7568563059887767,0.8054535027978804,0.0,0.001953125,True,1D-CNN | ESM-2 | balanced
Gradient Boosting,AAC,balanced,SVM,DPC,imbalanced,mcc,0.7568563059887767,0.8309790850127419,0.0,0.001953125,True,SVM | DPC | imbalanced
Random Forest,AAC,imbalanced,Gradient Boosting,Physicochemical,balanced,mcc,0.8183167446928847,0.7255443277110409,0.0,0.001953125,True,Random Forest | AAC | imbalanced
Gradient Boosting,AAC,balanced,SVM,DPC,balanced,mcc,0.7568563059887767,0.8124400133216465,0.0,0.001953125,True,SVM | DPC | balanced
Random Forest,AAC,imbalanced,Gradient Boosting,Physicochemical,imbalanced,mcc,0.8183167446928847,0.730397768190582,0.0,0.001953125,True,Random Forest | AAC | imbalanced
Random Forest,AAC,imbalanced,SVM,Physicochemical,balanced,mcc,0.8183167446928847,0.7319538021116699,0.0,0.001953125,True,Random Forest | AAC | imbalanced
Random Forest,AAC,imbalanced,SVM,Physicochemical,imbalanced,mcc,0.8183167446928847,0.7300092144186451,0.0,0.001953125,True,Random Forest | AAC | imbalanced
Random Forest,AAC,imbalanced,Gradient Boosting,DPC,balanced,mcc,0.8183167446928847,0.7240287077940122,0.0,0.001953125,True,Random Forest | AAC | imbalanced
Random Forest,AAC,imbalanced,Gradient Boosting,DPC,imbalanced,mcc,0.8183167446928847,0.7344367570867021,0.0,0.001953125,True,Random Forest | AAC | imbalanced
